location;population
Afghanistan;40099462.0
Africa;1392394303.0
Albania;2854710.0
Algeria;44177969.0
Andorra;79034.0
Angola;34503774.0
Anguilla;15753.0
Antigua and Barbuda;93220.0
Argentina;45276780.0
Armenia;2790974.0
Aruba;106536.0
Asia;4693235454.0
Australia;25921089.0
Austria;8922082.0
Azerbaijan;10312992.0
Bahamas;407906.0
Bahrain;1463265.0
Bangladesh;169356251.0
Barbados;281200.0
Belarus;9578168.0
Belgium;11611420.0
Belize;400031.0
Benin;12996895.0
Bermuda;64185.0
Bhutan;777486.0
Bolivia;12079472.0
Bonaire Sint Eustatius and Saba;26706.0
Bosnia and Herzegovina;3270943.0
Botswana;2588423.0
Brazil;214326223.0
British Virgin Islands;31122.0
Brunei;445373.0
Bulgaria;6885868.0
Burkina Faso;22100683.0
Burundi;12551213.0
Cambodia;16589023.0
Cameroon;27198628.0
Canada;38155012.0
Cape Verde;587925.0
Cayman Islands;68136.0
Central African Republic;5457154.0
Chad;17179740.0
Chile;19493184.0
China;1425893464.0
Colombia;51516562.0
Comoros;821626.0
Congo;5835806.0
Cook Islands;17003.0
Costa Rica;5153957.0
Cote d'Ivoire;27478249.0
Croatia;4060135.0
Cuba;11256372.0
Curacao;190338.0
Cyprus;896007.0
Czechia;10510750.0
Democratic Republic of Congo;95894118.0
Denmark;5854240.0
Djibouti;1105557.0
Dominica;72412.0
Dominican Republic;11117874.0
Ecuador;17797737.0
Egypt;109262178.0
El Salvador;6314167.0
Equatorial Guinea;1634466.0
Eritrea;3620312.0
Estonia;1328701.0
Eswatini;1192271.0
Ethiopia;120283026.0
Europe;748655221.0
European Union;447593544.0
Faeroe Islands;52888.0
Falkland Islands;3764.0
Fiji;924610.0
Finland;5535992.0
France;67422000.0
French Polynesia;304032.0
Gabon;2341179.0
Gambia;2639916.0
Georgia;3757980.0
Germany;83408554.0
Ghana;32833031.0
Gibraltar;32670.0
Greece;10445365.0
Greenland;56243.0
Grenada;124610.0
Guam;170534.0
Guatemala;17608483.0
Guernsey;63065.0
Guinea;13531906.0
Guinea-Bissau;2060721.0
Guyana;804567.0
Haiti;11447569.0
High income;1241374280.0
Honduras;10278346.0
Hong Kong;7494578.0
Hungary;9709786.0
Iceland;370335.0
India;1407563842.0
Indonesia;273753191.0
International;
Iran;87923432.0
Iraq;43533592.0
Ireland;4986526.0
Isle of Man;84263.0
Israel;9291000.0
Italy;59240330.0
Jamaica;2827694.0
Japan;124612530.0
Jersey;109618.0
Jordan;11148278.0
Kazakhstan;19196465.0
Kenya;53005614.0
Kiribati;128874.0
Kosovo;1782115.0
Kuwait;4250114.0
Kyrgyzstan;6527743.0
Laos;7425058.0
Latvia;1873919.0
Lebanon;5592631.0
Lesotho;2281454.0
Liberia;5193416.0
Libya;6735277.0
Liechtenstein;39039.0
Lithuania;2786651.0
Low income;701926970.0
Lower middle income;3363196660.0
Luxembourg;639321.0
Macao;686607.0
Madagascar;28915653.0
Malawi;19889742.0
Malaysia;33573874.0
Maldives;521458.0
Mali;21904983.0
Malta;526748.0
Marshall Islands;42050.0
Mauritania;4614974.0
Mauritius;1298915.0
Mexico;126705138.0
Micronesia (country);113131.0
Moldova;3061506.0
Monaco;36686.0
Mongolia;3347782.0
Montenegro;627859.0
Montserrat;4417.0
Morocco;37076584.0
Mozambique;32077072.0
Myanmar;53798084.0
Namibia;2530151.0
Nauru;12512.0
Nepal;30034989.0
Netherlands;17501696.0
New Caledonia;287800.0
New Zealand;5129728.0
Nicaragua;6850540.0
Niger;25252722.0
Nigeria;213401323.0
Niue;1937.0
North America;596315269.0
North Korea;25971909.0
North Macedonia;2103330.0
Northern Cyprus;
Northern Mariana Islands;49481.0
Norway;5403021.0
Oceania;44491772.0
Oman;4520471.0
Pakistan;231402116.0
Palau;18024.0
Palestine;5133392.0
Panama;4351267.0
Papua New Guinea;9949437.0
Paraguay;6703799.0
Peru;33715472.0
Philippines;113880328.0
Pitcairn;47.0
Poland;38307726.0
Portugal;10290103.0
Puerto Rico;3256028.0
Qatar;2688235.0
Romania;19328560.0
Russia;145102755.0
Rwanda;13461888.0
Saint Helena;5404.0
Saint Kitts and Nevis;47606.0
Saint Lucia;179652.0
Saint Pierre and Miquelon;5883.0
Saint Vincent and the Grenadines;104332.0
Samoa;218764.0
San Marino;33746.0
Sao Tome and Principe;223107.0
Saudi Arabia;35950396.0
Senegal;16876720.0
Serbia;6871547.0
Seychelles;106470.0
Sierra Leone;8420641.0
Singapore;5453600.0
Sint Maarten (Dutch part);44042.0
Slovakia;5447622.0
Slovenia;2119410.0
Solomon Islands;707851.0
Somalia;17065581.0
South Africa;59392255.0
South America;433956670.0
South Korea;51830139.0
South Sudan;10748272.0
Spain;47486935.0
Sri Lanka;21773441.0
Sudan;45657202.0
Suriname;612984.0
Sweden;10467097.0
Switzerland;8691406.0
Syria;21324367.0
Taiwan;23859912.0
Tajikistan;9750064.0
Tanzania;63588334.0
Thailand;71601103.0
Timor;1320942.0
Togo;8644829.0
Tokelau;1849.0
Tonga;106017.0
Trinidad and Tobago;1525663.0
Tunisia;12262946.0
Turkey;84775404.0
Turkmenistan;6341855.0
Turks and Caicos Islands;45114.0
Tuvalu;11204.0
Uganda;45853778.0
Ukraine;43531422.0
United Arab Emirates;9365144.0
United Kingdom;67281040.0
United States;336997624.0
United States Virgin Islands;100091.0
Upper middle income;2501427940.0
Uruguay;3426260.0
Uzbekistan;34081449.0
Vanuatu;319136.0
Vatican;511.0
Venezuela;28199866.0
Vietnam;97468028.0
Wallis and Futuna;11627.0
Western Sahara;565581.0
World;7909295152.0
Yemen;32981641.0
Zambia;19473125.0
Zimbabwe;15993524.0
